kommune_kode,selvvurderet_helbred_pct,selvvurderet_helbred_ratio,mentalt_helbred_pct,mentalt_helbred_ratio,rygning_pct,rygning_ratio,alkohol_pct,alkohol_ratio,fysisk_aktivitet_pct,fysisk_aktivitet_ratio,kost_pct,kost_ratio,svaer_overvaegt_pct,svaer_overvaegt_ratio,ensomhed_pct,ensomhed_ratio,social_stoette_pct,social_stoette_ratio,selvvurderet_helbred_ref,mentalt_helbred_ref,rygning_ref,alkohol_ref,fysisk_aktivitet_ref,kost_ref,svaer_overvaegt_ref,ensomhed_ref,social_stoette_ref
787,79.8,97.24,12.0,132.74,11.9,87.98,10.6,135.63,59.8,85.99,24.9,73.84,26.6,69.29,11.5,93.91,3.9,133.42,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
791,83.0,101.13,14.2,112.18,10.8,96.94,11.8,121.84,52.5,97.95,24.2,75.97,21.5,85.72,10.8,99.99,5.6,92.92,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
810,80.6,98.21,14.7,108.36,9.1,115.05,9.2,150,59.4,86.57,24.9,73.84,25.3,72.85,11.3,95.57,6.6,78.84,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
813,79.2,96.5,14.7,108.36,12.5,83.76,12.5,115.01,55.8,92.16,22.9,80.28,24.9,74.02,10.8,99.99,5.5,94.61,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
820,78.3,95.41,15.6,102.11,12.1,86.53,11.1,129.52,62.1,82.81,25.4,72.38,24.0,76.79,10.6,101.88,4.9,106.19,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
825,80.3,97.85,11.4,139.73,8.6,121.74,19.8,72.61,58.1,88.51,20.4,90.12,25.2,73.14,10.4,103.84,7.0,74.33,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
840,84.1,102.48,12.1,131.65,8.0,130.87,10.6,135.63,52.5,97.95,20.3,90.57,21.4,86.12,9.8,110.2,4.6,113.12,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
846,81.3,99.06,14.2,112.18,10.4,100.67,11.6,123.94,57.0,90.22,21.7,84.72,22.1,83.4,12.5,86.39,5.4,96.36,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
849,78.7,95.9,15.1,105.49,12.0,87.25,11.0,130.7,60.0,85.71,23.6,77.9,25.6,71.99,10.4,103.84,3.4,150,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
851,82.5,100.53,17.2,92.61,9.0,116.33,12.7,113.2,51.3,100.24,20.9,87.97,18.1,101.83,11.7,92.3,4.5,115.63,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
860,79.4,96.75,14.8,107.63,10.6,98.77,11.0,130.7,58.3,88.21,22.3,82.45,23.9,77.12,10.6,101.88,4.8,108.4,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
